이슈,원인,원인 소분류,원인 대분류,조치결과,조치결과상세,로봇분류
액정불량 대체품,UI/UX 오류(LCD 화면 표기),HW / 터치패널,로봇문제(HW),로봇교체(HW),,베어 서빙로봇
액정불량 로봇교체,터치패널 불량,HW / 터치패널,로봇문제(HW),로봇교체(HW),,베어 서빙로봇
액정불량 재부팅해도 아무것도 나오지 않음,터치패널 불량,HW / 터치패널,로봇문제(HW),로봇교체(HW),디스플레이 불량,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
액정이 안보여요,터치패널 불량,HW / 터치패널,로봇문제(HW),로봇교체(HW),,베어 서빙로봇
야간 자가진단 재부팅후오루발생,로봇 에러(재부팅 필요),SW / 자율주행,로봇문제(SW),멀티로봇/줄서기오류 등 개선(SW),수동초기화 및 위치재배치 수리,"베어로봇틱스 판매형 방역로봇,방역로봇 충전기"
야간현장수배[상품명] 베어로보틱스 서빙로봇_임대형[신고자/연락처] 심수진/010-9124-7935[문의(고장)내용] 테이블 위치 변경 후 로봇이 테이블 번호를 못 찾아서 이용불가[답변(진단)내용] 비즈지원팀 접수[기타],매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),테이블재배치로 인한 로봇목적지 이동시 오류 발생,베어 서빙로봇
야간현장수배[상품명] 베어로보틱스 서빙로봇[신고자/연락처] 노혜란/010-6685-3683[문의(고장)내용] 테이블 위치 변경으로 인해 재설정 필요[답변(진단)내용] 비즈지원팀 접수[기타],매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),재맵핑,베어 서빙로봇
양보주행 오류,"멀티로봇 오류, 줄서기오류 등",SW / 자율주행,로봇문제(SW),멀티로봇/줄서기오류 등 개선(SW),양보주행 오류,LG 서빙로봇 판매
양보주행 오류,"멀티로봇 오류, 줄서기오류 등",SW / 자율주행,로봇문제(SW),멀티로봇/줄서기오류 등 개선(SW),양보주행 오류,LG 서빙로봇 판매
어? 라는 화면 뜸,비고장,SW / UI/UX(LCD 화면표기),로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",업데이트 진행,베어 서빙로봇
업그레이드않됨 L사직원 고객사 방문점검,기타,SW / 자율주행,로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",버전업 및 PUSH모드사용,LG 서빙로봇 판매
업데이트 이상증상,로봇 에러(재부팅 필요),SW / 자율주행,로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",버전업후 위치이탈,LG 서빙로봇 판매
업데이트 후 오류,로봇 에러(재부팅 필요),SW / 자율주행,로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",위치이탈 미충전,LG 서빙로봇 판매
업데이트 후 이상동작,로봇 에러(재부팅 필요),SW / 자율주행,로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",업데이트 후 오류,LG 서빙로봇 판매
업데이트후주행불량,"자율주행 오류(멈춤, 금지구역침범 등)",설치 / 로봇 내부 설정,고객환경(변화),멀티로봇/줄서기오류 등 개선(SW),설정변경,LG서빙로봇(POC)
업종변경 재오픈일고정장애물변경 및 추가,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),맵 보정(설정),,베어 서빙로봇 미니
"업종변경으로 테이블재배치됨, 맴재설정요청(목포지사 전략상권팀 마철차장메일요청)",매장 내 테이블 배치 변경,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",폐문부재중,LG 서빙로봇 판매
에러 자주뜸재부팅해도 마챦가지임점검요청,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),맵 보정(설정),리푸팅,베어 서빙로봇
에러코드 발생 로봇작동불,TX2(HW 센서구동부 보드) 불량,HW / TX2(HW 센서/구동부 보드),로봇문제(HW),구동부조명 불량복구(HW),구동부 이물질제거,베어 서빙로봇
에이전트 업데이트,기타,SW / 자율주행,로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",,"베어로봇틱스 판매형 방역로봇,방역로봇 충전기"
엘지 클로이 바퀴에러 주행불가,바퀴 불량,HW / 바퀴,로봇문제(HW),바퀴 불량복구(HW),,
엘지로봇 부팅안됨 현장출동요청,로봇 에러(재부팅 필요),HW / TX2(HW 센서/구동부 보드),로봇문제(HW),수리의뢰(원격수리/수리의뢰 배송)(HW),엘지수리의뢰,LG서빙로봇(POC)
엘지서빙로봇 서빙중 수시로 멈춤,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),468990,LG 서빙로봇 판매
엘지서빙로봇 poc개통후 사후케어,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),퇴식장소 통로  금지구역재설정 및 제품마커 위치변경,LG 서빙로봇
엘지클로이 업그레이드 불가,기타,SW / 자율주행,로봇문제(SW),기타(외부시스템),468973,LG 서빙로봇 판매
엘지클로이 SW 업그레이드 불가,기타,SW / 자율주행,로봇문제(SW),기타(외부시스템),468973,LG 서빙로봇 판매
오동작,공유기 환경 설정오류,와이파이 / 공유기,무선품질문제,공유기 환경 설정 개선(WiFi),wifi재설정,베어 서빙로봇
오동작,로봇 설정 미흡,설치 / 로봇 내부 설정,고객환경(변화),대기시간 조정(설정),무게초기화,베어 서빙로봇
오동작,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),테이블위치변경,베어 서빙로봇
오동작,자연회복,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),자연회복(자연회복),자연회복,베어 서빙로봇
오동작,매장 내 신규 장애물 발생,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",위치 재배치 완료,베어 서빙로봇
오동작 및 멈춤현상,"맵핑오류, 라이다 틀어짐",SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",맵수정,LG 서비스로봇2 판매형
오동작 및 자주멈춤,"맵핑오류, 라이다 틀어짐",SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",오동작,LG 서비스로봇2 판매형
오류 메세지,로봇 에러(재부팅 필요),HW / 긴급정지버튼(상단),로봇문제(HW),긴급정지버튼(하단) 불량복구(HW),범퍼센서 오류,LG 서빙로봇 판매
오작동,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),맵 보정(설정),,LG 서비스로봇2 임대형
오작동 방문요청,매장 내 테이블 배치 변경,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),자연회복(자연회복),로봇 파워재부팅,"방역로봇 충전기,베어로봇틱스 임대형 방역로봇"
오작동 테이블 도착시 틀림,"맵핑오류, 라이다 틀어짐",SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),자율주행 로직개선(SW),poi재설정,LG 서빙로봇 판매
오전에 로봇부팅시 wifi 연결정보 없어서 자주검색해서  wifi 연결한다고신고함,기타,SW / 자율주행,로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",sw버전 22.04.2상향,베어 서빙로봇
와이파이 신호 약함,공유기 환경 설정오류,와이파이 / 공유기,무선품질문제,공유기 환경 설정 개선(WiFi),와이파이 신호약함,LG서빙로봇(고객)
와이파이 연결 불량,UI/UX 오류(LCD 화면 표기),SW / UI/UX(LCD 화면표기),로봇문제(SW),터치패널 불량복구(HW),소프트웨어 최신버전 업그레이드,베어 서빙로봇
와이파이 이상및 복귀안됨,문의성,문의성 / 기타,기타,,와이파이 재설정및 무게센서 초기화,베어 서빙로봇
와이파이 점검요청,공유기 환경 설정오류,와이파이 / 공유기,무선품질문제,무선품질 불량 개선(WiFi),와이파이 점검완료,베어 서빙로봇
와이파이접속불량,라우터 불량,HW / 라우터,로봇문제(HW),수리의뢰(원격수리/수리의뢰 배송)(HW),466995,LG서빙로봇(POC)
와이파이접속안됨,공유기 불량,와이파이 / 공유기,무선품질문제,공유기 불량복구(HW),공유기교체함,베어 서빙로봇
완전방전 충전불가,충전스테이션 불량,HW / 전원부,로봇문제(HW),전원부 불량복구(HW),무선충전기 전원 케이블 빠짐,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
완전방전충전불가,비고장,HW / 전원부,로봇문제(HW),전원부 불량복구(HW),유선충전으로 전환회복,"서빙로봇,서빙로봇 충전기"
운영장소 및 이동장소 변경,고객 조작 미숙,문의성 / 기술상담,고객사용법,"위치변경(대기장소, 목적지 테이블 등)(설정)",운영장소 변경방법 안내,LG서빙로봇(POC)
운용및 이동지 위치변경,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",운용지 및 이동지 위치변경,LG서빙로봇(고객)
운용중 장애물회피 안됨,로봇 에러(재부팅 필요),설치 / 맵 설정,고객환경(변화),맵 보정(설정),맵 보정수리,베어 서빙로봇
운행 불,비고장,비고장 / 기타,기타,,,LG 서비스로봇2 판매형
운행 장애,기타,SW / 자율주행,로봇문제(SW),기타(외부시스템),동작에러로 맵수정 로봇센서 클리닝 SW버전업,베어 서빙로봇
운행 as,문의성,HW / 바퀴,로봇문제(HW),이물질 제거(라이다/카메라/터치스크린/ 바퀴 등)(환경),바퀴커버 부착,베어 서빙로봇
운행불가,로봇 에러(재부팅 필요),HW / 헤더부 터치버튼,로봇문제(HW),리부팅(HW),,베어 서빙로봇
운행불가,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",경로 및 위치 조정 후 맵설정,베어 서빙로봇
운행불가,"자율주행 오류(멈춤, 금지구역침범 등)",SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),자율주행 로직개선(SW),,"베어로봇틱스 판매형 방역로봇,방역로봇 충전기"
운행불량,트레이/적재함 불량,HW / 트레이/적재함,로봇문제(HW),트레이/적재함 불량복구(HW),,베어 서빙로봇
운행시 에러,"자율주행 오류(멈춤, 금지구역침범 등)",설치 / 로봇 내부 설정,고객환경(변화),리부팅(HW),로봇 비상버튼 및 에러 복구,LG 서빙로봇 판매
운행안됨,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),맵 보정(설정),,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
운행에러,라이다 센서 불량,HW / 라이다 센서,로봇문제(HW),로봇교체(HW),로봇불량,베어 서빙로봇
운행에러,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",멀티중 1대에러로 맵수정 및 센서 클린징,베어 서빙로봇
운행에러,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",멀티중 로봇1대 이상으로 맵수정 복구,베어 서빙로봇
운행에러,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",멀티운행 에러로 맵수정 경로 변경,베어 서빙로봇
운행에러,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",맵수정 위치수정,LG 서빙로봇 판매
운행에러,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",맵수정 위치수정,LG 서빙로봇 판매
운행장애,문의성,설치 / 맵 설정,고객환경(변화),자연회복(자연회복),위치 및 환경보완 주사용직원 교통사고로 운행교육,베어 서빙로봇
운행중 속도저하,"자율주행 오류(멈춤, 금지구역침범 등)",SW / 자율주행,로봇문제(SW),자율주행 로직개선(SW),,LG 서빙로봇 판매
움직이지않고 방역안됨,로봇 설정 미흡,설치 / 로봇 내부 설정,고객환경(변화),리부팅(HW),양호,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
웍격제어불가,USIM 실장 오류,LTE / 실내,로봇문제(HW),리부팅(HW),lte단절상태유심 탈실장 전원리부팅,"베어로봇틱스 판매형 방역로봇,방역로봇 충전기"
원격관제시 오류누적사용율 확인불,로봇 에러(재부팅 필요),LTE / 실내,로봇문제(HW),리부팅(HW),LTE오류,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
원격접속불가,로봇 에러(재부팅 필요),와이파이 / 공유기,무선품질문제,공유기 불량복구(HW),wifi 연결끊어짐,베어 서빙로봇
위치,트레이/적재함 불량,HW / 트레이/적재함,로봇문제(HW),트레이/적재함 불량복구(HW),,베어 서빙로봇
위치 및 동선변경 요청,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",목적지추가,베어 서빙로봇
위치 및 동선변경 요청,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",목적지 추가,베어 서빙로봇
위치 및 로보케어앱 연동 안됨,로보케어 APP 오류,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),Robot Makers 개선(로봇플랫폼),에이전트 재설치,"베어로봇틱스 판매형 방역로봇,방역로봇 충전기"
위치 불량,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",위치 잃어버림,베어 서빙로봇
위치 잃고목적지로 가지 않음,"맵핑오류, 라이다 틀어짐",HW / 라이다 센서,로봇문제(HW),리부팅(HW),정상작동,베어 서빙로봇
위치 잃어버림 방문요청,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),,베어 서빙로봇
위치 잃음 테이블 변경됨,매장 내 테이블 배치 변경,SW / 자율주행,로봇문제(SW),장애물 제거(환경),목적지추가 및 위재배치 재교육(홀직원),베어 서빙로봇
위치 확인,서비스 매니저 오류(서빙/방역서비스처리),로봇플랫폼 / Robot Makers(로봇플랫폼),로봇플랫폼,"위치변경(대기장소, 목적지 테이블 등)(설정)",고객사용미숙,베어 서빙로봇
