이슈,원인,조치결과
[상품명]서빙로봇[신고자/연락처]정영덕01037790815[문의(고장)내용]고객 로봇 사용불로 전원off상태 [답변(진단)내용]원격불/ 영업대표 대리신고[기타]kt 김태경01073002483,[상품명]서빙로봇[신고자/연락처]정영덕01037790815[문의(고장)내용]고객 로봇 사용불로 전원off상태 [답변(진단)내용]원격불/ 영업대표 대리신고[기타]kt 김태경01073002483,로봇 재부팅 후 재배치
[상품명]LG서빙로봇[신고자/연락처]조수상 010-2372-5956[문의(고장)내용]운용설정을 몇가지 바꾸고 싶다고 하심[답변(진단)내용]상담요청[기타],[상품명]LG서빙로봇[신고자/연락처]조수상 010-2372-5956[문의(고장)내용]운용설정을 몇가지 바꾸고 싶다고 하심[답변(진단)내용]상담요청[기타],
제작사 로봇불량 판정으로 로봇교체,제작사 로봇불량 판정으로 로봇교체,화면터치불량 교체
로봇이 장애물 인식시 멈추는현상특정테이블 서빙오류발생,로봇이 장애물 인식시 멈추는현상특정테이블 서빙오류발생,
[상품명] 서빙로봇[신고자/연락처] 010-7475-0014[문의(고장)내용] 오작동/길 찾지못한다고하심[단변(진단)내용]길 reset후 동일증상[기타],[상품명] 서빙로봇[신고자/연락처] 010-7475-0014[문의(고장)내용] 오작동/길 찾지못한다고하심[단변(진단)내용]길 reset후 동일증상[기타],로봇 위치재배치
로봇이 자주 멈춤현상,로봇이 자주 멈춤현상,최신버전으로 버전업
포인트추가,포인트추가,포인트추가
로봇 특수수요 교체 설치,로봇 특수수요 교체 설치,로봇 교체
충전불가,충전불가,충전부 불량 제조사 의뢰
로봇 재부팅 불가,로봇 재부팅 불가,
로봇 교체..,로봇 교체..,
로봇 카우터 앞에서 헤메고 있음,로봇 카우터 앞에서 헤메고 있음,양호합니다
로봇 복귀 안됨,로봇 복귀 안됨,무게초기화
[상품명]서빙로봇[신고자/연락처]장영수/010-5657-5169[문의(고장)내용]로봇이 길을 찾지못함[답변(진단)내용][기타],[상품명]서빙로봇[신고자/연락처]장영수/010-5657-5169[문의(고장)내용]로봇이 길을 찾지못함[답변(진단)내용][기타],
[상품명][신고자/연락처]손지해01086343692[문의(고장)내용]로봇2대 운용중 1대는 잘되나 1대는 장애물없으나 장애물오류계속뜸/ 2대중1대서비스번호확인불가로임의접수합니다/ 하이오더도같이진행중으로 고객 불편없이 빠른조치요청하심[답변(진단)내용]대리점대리접수로 확인불가[기타],[상품명][신고자/연락처]손지해01086343692[문의(고장)내용]로봇2대 운용중 1대는 잘되나 1대는 장애물없으나 장애물오류계속뜸/ 2대중1대서비스번호확인불가로임의접수합니다/ 하이오더도같이진행중으로 고객 불편없이 빠른조치요청하심[답변(진단)내용]대리점대리접수로 확인불가[기타],
WIFI접속안됨으로 에러발생,WIFI접속안됨으로 에러발생,Wifi복구
[상품명] 서빙로봇[신고자/연락처]고주란 02-3495-0092[문의(고장)내용]로붓 주행 안된다심[답변(진단)내용] 로봇 리셋해도 마찬가지 방문 점검 요청 하심[기타],[상품명] 서빙로봇[신고자/연락처]고주란 02-3495-0092[문의(고장)내용]로붓 주행 안된다심[답변(진단)내용] 로봇 리셋해도 마찬가지 방문 점검 요청 하심[기타],작동미숙
로봇 교차시 우왕좌왕하는 증상이 많음,로봇 교차시 우왕좌왕하는 증상이 많음,장애물 재배치 수리
테이블 위치조정,테이블 위치조정,
테이블오더 설치 후 로봇 위치변경요청,테이블오더 설치 후 로봇 위치변경요청,
음료트레이 적용 일부 운행 맵수정,음료트레이 적용 일부 운행 맵수정,음료트레이 적용 및 5대 멀티운행에러 맵수정
음료트레이 적용 및 일부 주행 맵수정,음료트레이 적용 및 일부 주행 맵수정,음료트레이 적용 및 5대 멀티운행에러 맵수정
대기장소 위치변경,대기장소 위치변경,대기장소 위치변경 및 음료전용 트레이 교체
로봇 이동이상,로봇 이동이상,테이블 이동으로 맵 수정
[상품명] 서비스로봇[신고자/ 연락처]010 3076 5552 [문의(고장)내용]  작동안됨[답변(진단)내용] 접수자 kt직원  010 2687 9990[기타],[상품명] 서비스로봇[신고자/ 연락처]010 3076 5552 [문의(고장)내용]  작동안됨[답변(진단)내용] 접수자 kt직원  010 2687 9990[기타],
로봇 디스플레이창표시 안됨,로봇 디스플레이창표시 안됨,제작사 점검의뢰
방역로봇 교체특수수요,방역로봇 교체특수수요,로봇구동부 불량
[상품명] 베어로봇[신고자/연락처] 최예진 1644-8870  01051672650[문의(고장)내용] 동선맵수정 요청[답변(진단)내용] 담당부서 안내[기타],[상품명] 베어로봇[신고자/연락처] 최예진 1644-8870  01051672650[문의(고장)내용] 동선맵수정 요청[답변(진단)내용] 담당부서 안내[기타],인테리어 재배치로 재개통
[상품명]LG서빙로봇[신고자/연락처]이현정/010-9439-3849[문의(고장)내용]몇일전부터 모두 사용중으로 나오면서 호출안됨[답변(진단)내용]빠른점검조치 요청드립니다[기타],[상품명]LG서빙로봇[신고자/연락처]이현정/010-9439-3849[문의(고장)내용]몇일전부터 모두 사용중으로 나오면서 호출안됨[답변(진단)내용]빠른점검조치 요청드립니다[기타],
LED불빛 꺼짐,LED불빛 꺼짐,LG입고 수리
[상품명]베어서빙로봇_임대형[신고자/연락처]강경민 010-7603-8019[문의(고장)내용]위치찾기오류[답변(진단)내용]리부팅해도 동일. 점검요청[기타] 통화어려우면 문자남김요청,[상품명]베어서빙로봇_임대형[신고자/연락처]강경민 010-7603-8019[문의(고장)내용]위치찾기오류[답변(진단)내용]리부팅해도 동일. 점검요청[기타] 통화어려우면 문자남김요청,로봇 재배치
무선충전 불량 조치 요망,무선충전 불량 조치 요망,무선충전기 전원케이블 접속 약간 빠짐
주행불량 제자리 도리도리,주행불량 제자리 도리도리,2번 사각트레이 틀어짐 수정
로봇위치잃음,로봇위치잃음,대기장소 픽업포인트 재배치
맵조정,맵조정,맵조정 및 버전업
버젼불일치로 줄서기안됨,버젼불일치로 줄서기안됨,버젼업불일치
버젼불일치로 줄서기 안됨,버젼불일치로 줄서기 안됨,버젼업
서빙후 미복귀,서빙후 미복귀,비상정지버튼 활성화
[상품명]LG서빕로봇[신고자/연락처]010-9099-7979 이숙향[문의(고장)내용] 로봇스캔버튼 안눌러짐/충전 2일 했는데 계속 빨간불 뜸[답변(진단)내용]16시방문 요청(시간엄수!!)/직접 직원과 만나길 바라심(시간엄수!!)[기타],[상품명]LG서빕로봇[신고자/연락처]010-9099-7979 이숙향[문의(고장)내용] 로봇스캔버튼 안눌러짐/충전 2일 했는데 계속 빨간불 뜸[답변(진단)내용]16시방문 요청(시간엄수!!)/직접 직원과 만나길 바라심(시간엄수!!)[기타],비상정지버튼 비활성화 미인지
[상품명]베어 방역로봇[신고자/연락처]신승훈/01087344010[문의(고장)내용]로봇 충전안됨[답변(진단)내용]충전기에 불은 들어옴[기타],[상품명]베어 방역로봇[신고자/연락처]신승훈/01087344010[문의(고장)내용]로봇 충전안됨[답변(진단)내용]충전기에 불은 들어옴[기타],유선충전후 무선충전 전환
[상품명]LG서빙로봇[신고자/연락처]이형구/01077770128[문의(고장)내용]어제 업그레이드된후 위치찾기 에러발생[답변(진단)내용]업그레이드는 공지사항건/로봇 OFF/ON해도 마찬가지[기타],[상품명]LG서빙로봇[신고자/연락처]이형구/01077770128[문의(고장)내용]어제 업그레이드된후 위치찾기 에러발생[답변(진단)내용]업그레이드는 공지사항건/로봇 OFF/ON해도 마찬가지[기타],양호
"[상품명] 서빙로봇[신고자/연락처] 01062260612 박명숙[문의(고장)내용]  동작하다 멈춤 , 테이블 위치도 변경되었다며 점검요청[답변(진단)내용]  7월31일경 방문하여해당부서에서 다시 방문할거라 안내받았으나 연락 없다함","[상품명] 서빙로봇[신고자/연락처] 01062260612 박명숙[문의(고장)내용]  동작하다 멈춤 , 테이블 위치도 변경되었다며 점검요청[답변(진단)내용]  7월31일경 방문하여해당부서에서 다시 방문할거라 안내받았으나 연락 없다함",위치재설정요청
퇴식주행테스트,퇴식주행테스트,퇴식모드 미션확인 맵수정
대기장소 변경,대기장소 변경,위치이동
대기장소에 냉장고설치됨방문요청,대기장소에 냉장고설치됨방문요청,대기장소 위치변경 및 금지영역 재설정
배식구로 2대가 몰려가는현상,배식구로 2대가 몰려가는현상,멀티2대 로봇버전 불일치
멀티불가 확인요망,멀티불가 확인요망,버전업 완료
업데이트후주행불량,업데이트후주행불량,설정변경
로봇 불량 교체,로봇 불량 교체,로봇 불량 교체
[상품명][신고자/연락처]최병수01029994205[문의(고장)내용]위치를못찾음[답변(진단)내용]재시작동일[기타],[상품명][신고자/연락처]최병수01029994205[문의(고장)내용]위치를못찾음[답변(진단)내용]재시작동일[기타],
동작불,동작불,화면터치불
단차 해소 방안 모색,단차 해소 방안 모색,단차구역 금지영역 추가
판매형 교체,판매형 교체,판매형 수리 교체
로봇 서빙주행 위치 틀어짐,로봇 서빙주행 위치 틀어짐,"맵수정, 민감도조잘"
위치 잃어버림 방문요청,위치 잃어버림 방문요청,
sw update,sw update,
sw update,sw update,
정지상태,정지상태,버전업으로 인한 버그
로봇 LTE접속불로 인한 로봇교체,로봇 LTE접속불로 인한 로봇교체,로봇 유심불량
"[상품명]서빙로봇[신고자/연락처]김현주 010-4940-4445[문의(고장)내용]정전후 로봇 전원 안들어옴. 어제부터 사용못하고있으며, 점심시간에 사용못하고 있다고 긴급 점검요청[답변(진단)내용][기타]","[상품명]서빙로봇[신고자/연락처]김현주 010-4940-4445[문의(고장)내용]정전후 로봇 전원 안들어옴. 어제부터 사용못하고있으며, 점심시간에 사용못하고 있다고 긴급 점검요청[답변(진단)내용][기타]",전원접촉 불량수리
[상품명]베어서빙로봇[신고자/연락처]김홍미 010-8868-3916대리신고 영업점 010-8558-9989[문의(고장)내용]장애물인식오류[답변(진단)내용] 로봇리셋해도 동일 점검요청[기타],[상품명]베어서빙로봇[신고자/연락처]김홍미 010-8868-3916대리신고 영업점 010-8558-9989[문의(고장)내용]장애물인식오류[답변(진단)내용] 로봇리셋해도 동일 점검요청[기타],로봇재배치 및 펌웨어 업데이트작업
로봇유심케이스 불량,로봇유심케이스 불량,유심장착케이스파손 교체
로봇 복귀 안되고 자주 멈춤,로봇 복귀 안되고 자주 멈춤,맵 변경 및 멀티 로봇 점검
로봇에러,로봇에러,맵 수정
[상품명] : LG서빙로봇[신고자/연락처] : 010-5886-4568서민수[문의(고장)내용] : 서빙로봇 고장신고요청[ 답변(진단)내용] : 고장상담하였다고 고장접수요청하여 수배접수[기타] :  류,[상품명] : LG서빙로봇[신고자/연락처] : 010-5886-4568서민수[문의(고장)내용] : 서빙로봇 고장신고요청[ 답변(진단)내용] : 고장상담하였다고 고장접수요청하여 수배접수[기타] :  류,LG기술팀 지원요청 함
[상품명]서빙로봇[신고자/연락처]도성현/043-855-7972[문의(고장)내용] 충전 안됨[답변(진단)내용]로봇 전원리셋 상태 동일[기타],[상품명]서빙로봇[신고자/연락처]도성현/043-855-7972[문의(고장)내용] 충전 안됨[답변(진단)내용]로봇 전원리셋 상태 동일[기타],퇴근시 off 출근하고 on 후 밧데리부족하타하니 신고하신듯 충전되고있다고 이상시 연락주신다함
주행불량,주행불량,주행불량
로봇 서빙중 멈춤,로봇 서빙중 멈춤,맵 재설정
로봇 작동 안되요,로봇 작동 안되요,두번째 트레이 틀어져서 카메라 가림
화면 터치 안됩니다,화면 터치 안됩니다,화면 터치 안되서 로봇 교체 요청
실행준비중입니다 계속 떠있음,실행준비중입니다 계속 떠있음,som보드 에러
로봇 운행불가,로봇 운행불가,
간혹 주행 불안정,간혹 주행 불안정,
간혹 주행불안정,간혹 주행불안정,
전원 충전어댑터 불량,전원 충전어댑터 불량,유선 충전어댑터불량 교체
[상품명]현대서빙로봇_임대형[신고자/연락처]장세영 010-7163-0876[문의(고장)내용]충전단자 오류같다고하심 [답변(진단)내용]점검요청[기타]오전 잠을자서 연락금지. 오후 연락요청,[상품명]현대서빙로봇_임대형[신고자/연락처]장세영 010-7163-0876[문의(고장)내용]충전단자 오류같다고하심 [답변(진단)내용]점검요청[기타]오전 잠을자서 연락금지. 오후 연락요청,"충전단자불량으로 로봇 운행안됨(방전상태) 고객님 충전단자불량 전에도 로봇이 멈추고 서고 했다시며 불만, 현재 확인 안됨"
